Date,CO2
19.582.027,315.71
19.582.877,317.45
19.583.699,317.51
19.585.370,315.87
19.586.219,314.93
19.587.068,313.21
19.588.740,313.33
19.589.562,314.67
19.590.411,315.58
19.591.260,316.49
19.592.027,316.65
19.592.877,317.72
19.593.699,318.29
19.594.548,318.15
19.595.370,316.54
19.596.219,314.79
19.597.068,313.84
19.597.890,313.33
19.598.740,314.81
19.599.562,315.58
19.600.410,316.43
19.601.257,316.98
19.602.049,317.58
19.602.896,319.03
19.603.716,320.03
19.604.563,319.58
19.605.383,318.18
19.606.230,315.90
19.607.077,314.17
19.607.896,313.83
19.608.743,315.00
19.609.563,316.19
19.610.411,316.89
19.611.260,317.70
19.612.027,318.54
19.612.877,319.48
19.613.699,320.58
19.614.548,319.77
19.615.370,318.56
19.616.219,316.79
19.617.068,314.99
19.617.890,315.31
19.618.740,316.10
19.619.562,317.01
19.620.411,317.94
19.621.260,318.55
19.622.027,319.68
19.622.877,320.57
19.623.699,321.02
19.624.548,320.62
19.625.370,319.62
19.626.219,317.40
19.627.068,316.24
19.627.890,315.42
19.628.740,316.69
19.629.562,317.70
19.630.411,318.74
19.631.260,319.07
19.632.027,319.86
19.632.877,321.38
19.633.699,322.24
19.634.548,321.49
19.635.370,319.74
19.636.219,317.77
19.637.068,316.21
19.637.890,315.99
19.638.740,317.07
19.639.562,318.35
19.640.410,319.57
19.643.716,322.25
19.644.563,321.90
19.645.383,320.44
19.646.230,318.69
19.647.077,316.71
19.647.896,316.87
19.648.743,317.68
19.649.563,318.71
19.650.411,319.44
19.651.260,320.44
19.652.027,320.89
19.652.877,322.13
19.653.699,322.17
19.654.548,321.88
19.655.370,321.21
19.656.219,318.87
19.657.068,317.82
19.657.890,317.30
19.658.740,318.87
19.659.562,319.42
19.660.411,320.62
19.661.260,321.60
19.662.027,322.39
19.662.877,323.70
19.663.699,324.08
19.664.548,323.75
19.665.370,322.37
19.666.219,320.36
19.667.068,318.64
19.667.890,318.10
19.668.740,319.78
19.669.562,321.02
19.670.411,322.33
19.671.260,322.50
19.672.027,323.03
19.672.877,324.41
19.673.699,325.00
19.674.548,324.09
19.675.370,322.54
19.676.219,320.92
19.677.068,319.25
19.677.890,319.39
19.678.740,320.73
19.679.562,321.96
19.680.410,322.57
19.681.257,323.15
19.682.049,323.89
19.682.896,325.02
19.683.716,325.57
19.684.563,325.36
19.685.383,324.14
19.686.230,322.11
